economy,Year,Edu_Spending_GDP,GDP_per_Capita,Health_Spending_GDP,Internet_Usage,Learning_Outcome,Unemployment_Rate,Population_Total,Inflation_Rate,Trade_Openness_GDP,GFCF_GDP,Population_Growth,Labor_Force,log_gdp,log_sk,log_n_g_d,log_h
TUR,2007,2.84605752898068,9766.91734545294,5.23760796,28.63,103.343299865723,10.285,70158112.0,8.75618090972639,48.027468179713,28.5042444802335,0.160856263475951,23635212.0,9.186756172777589,-1.2551171806713286,-2.9640676777274604,4.638056454473499
TUR,2008,3.05211505796148,10913.4079047769,5.21761751,34.37,103.343299865723,10.965,71051678.0,10.4441283764885,50.7612500066681,27.3051055897033,1.26560336535681,24405474.0,9.297747395292031,-1.298096483345002,-2.7700952949577893,4.638056454473499
TUR,2009,3.25817258694219,9076.92472236977,5.49438715,36.4,103.343299865723,14.026,72039206.0,6.25097663090626,47.0391385732199,22.9623515725507,1.3803027157145,25413653.0,9.113490727264274,-1.471314199374077,-2.751954642152841,4.638056454473499
TUR,2010,3.4642301159229,10698.9699409757,5.02053452,39.82,103.343299865723,11.879,73142150.0,8.56644420552976,46.9433366709891,24.87828284324,1.51943093763293,26452690.0,9.27790274861748,-1.391174938053596,-2.730383093362759,4.638056454473499
TUR,2011,3.67028764490373,11373.6355760885,4.6530509,43.0657,103.343299865723,9.789,74223629.0,6.471879671151,53.651583897618,27.9887488412804,1.46777416449143,27575358.0,9.339053287269795,-1.2733675836641574,-2.738338160700454,4.638056454473499
TUR,2012,3.73313114490758,11776.7593362033,4.44444656,45.13,103.343299865723,9.21,75175827.0,8.89156996512163,53.3277612968607,27.3995231020684,1.27471801981307,28126488.0,9.373883320564676,-1.2946445777795361,-2.768641639061527,4.638056454473499
TUR,2013,3.7270931869328,12635.5570016068,4.37099934,46.25,103.343299865723,9.713,76147624.0,7.49309030547693,53.0683530043043,28.7953288884594,1.28441474668,29149709.0,9.444270102871739,-1.2449570033735715,-2.767097467346169,4.638056454473499
TUR,2014,3.70725763246023,12209.3862327674,4.32517862,51.0374,99.0791091918945,9.901,77181884.0,8.85457271364324,54.30677404128,29.0843333155967,1.3490889002021,29521920.0,9.409960298254676,-1.234970530820459,-2.7568588636609053,4.5959186137843595
TUR,2015,3.68073782157082,11064.6494504662,4.11690426,53.745,98.8300704956055,10.304,78218479.0,7.67085364845877,51.8749252596832,30.0119130355216,1.33411577030414,30550902.0,9.31151057104938,-1.2035757819656911,-2.759219960440928,4.5934019156895225
TUR,2016,4.01208405010471,10984.3643169061,4.28469229,58.3477,134.545608520508,10.899,79277962.0,7.7751341532833,48.870183807987,30.0433084585307,1.34542593504869,31514194.0,9.304228114860809,-1.202530230052365,-2.7574359578315146,4.901903238368316
TUR,2017,3.82806641270622,10756.3877677883,4.17974997,64.6846,92.5956573486328,10.919,80312698.0,11.1443110840765,56.1356585158689,30.2598822010726,1.29675571220462,32535361.0,9.283255068039434,-1.1953473705279702,-2.765135651548024,4.528242243669426
TUR,2018,3.74457277388191,9684.11819884721,4.12101603,71.0428,91.0360870361328,10.956,81407204.0,16.3324638988928,62.8251323851165,30.2954032645887,1.35360298648434,33302540.0,9.178242523564546,-1.1941741924208222,-2.75614813454734,4.511255988744007
TUR,2019,4.11688261049072,9395.23378001368,4.35954332,73.9767,96.6259918212891,13.73,82579440.0,15.1768215720022,62.5784589326239,26.4629293789655,1.42969688109789,33686201.0,9.147957794988077,-1.3294253237176794,-2.7442427902031126,4.570847771499553
TUR,2020,4.11688261049072,8798.11791709313,4.61640215,77.6696,100.577331542969,13.148,83384680.0,12.2789574462574,60.389853117297,27.9506064917081,0.970386031353162,31770146.0,9.082293104534594,-1.2747312874557484,-2.818358598805868,4.610926899699579
TUR,2021,4.11688261049072,9981.76398411336,4.56065559,81.4084,103.435623168945,11.969,84147318.0,19.5964926913324,69.6088976086437,28.3920963280631,0.910444902564511,33490693.0,9.208515105601897,-1.2590593778607286,-2.828449077781708,4.638949420816507
TUR,2022,4.11688261049072,10897.8397861365,3.70338893,83.4372,101.500511169434,10.465,84979913.0,72.3088359891207,79.8982722314341,30.5449887042516,0.984586244469359,35081594.0,9.29631986381792,-1.1859695496932194,-2.8159829814532076,4.62006383462122
TUR,2023,4.11688261049072,13375.0947282864,4.27524424,85.9607,101.500511169434,9.388,85325965.0,53.8594087593315,65.6832084738667,32.8740322550634,0.406389351118662,35554975.0,9.501149654227829,-1.1124871330317807,-2.917588718692769,4.62006383462122
TUR,2024,4.11688261049072,15892.7157287241,,87.3079,101.500511169434,8.8,85518661.0,58.5064507300343,54.5988061195916,31.3157272627937,0.225580501096507,36409307.0,9.673616152965664,-1.1610497461771268,-2.951604293620114,4.62006383462122
TUV,2004,,2322.56265072892,9.33149719,7.6,102.183410644531,,9816.0,0.5005807431527,,,1.24034187139951,,7.7504264458802075,,-2.7741352180242576,4.62676934213333
TUV,2005,,2304.82694329052,10.06694317,8.3,107.203392028809,,9940.0,0.5005807431527,,,1.25533132598724,,7.742760873779446,,-2.7717360736899335,4.6747278901958875
TUV,2006,,2396.26844307702,12.17554379,9.1,102.136749267578,,10056.0,0.5005807431527,,,1.16024506194636,,7.781667990971663,,-2.787053626450477,4.626312594470405
TUV,2007,,2794.16310084119,10.45884991,10.0,101.63268947601307,,10182.0,0.5005807431527,,,1.24519841921979,,7.935287913503678,,-2.7733572704221245,4.621365230206129
TUV,2008,,3088.30877413836,10.33977222,11.2,101.12862968444814,,10321.0,0.5005807431527,,,1.3559199103652,,8.035378897770954,,-2.755783538027812,4.616393267782211
TUV,2009,,2683.96749549583,13.0113821,12.8,100.62456989288322,,10461.0,0.5005807431527,,,1.34734017778276,,7.8950513875472375,,-2.757134330474394,4.611396461373152
TUV,2010,,3024.8170790571,16.21352577,14.6,100.1205101013183,,10614.0,0.5005807431527,,,1.45198280440794,,8.014605898903383,,-2.74078269088554,4.606374561449899
TUV,2011,,3636.08139989792,14.74390411,16.5,99.61645030975338,,10780.0,0.5005807431527,,,1.55186810751479,,8.19866184225743,,-2.7254199697506216,4.601327314705066
TUV,2012,,3598.46163091053,13.87374306,18.7,99.11239051818845,,10934.0,0.5005807431527,,,1.41846349919564,,8.188261708367888,,-2.745991427273657,4.596254463976274
TUV,2013,,3510.21640142483,13.80392075,21.2,98.60833072662352,,11001.0,0.5005807431527,,,0.610897728449108,,8.163432967387042,,-2.88045945635933,4.591155748167528
TUV,2014,,3528.85858102782,14.52762222,24.1,98.1042709350586,,10984.0,0.5005807431527,,,-0.154650929162867,,8.168729749488298,,-3.0271508955962654,4.586030902168569
TUV,2015,,3357.83417700071,13.44188595,27.3,104.73934173584,,10963.0,0.5005807431527,,,-0.1913701773267,,8.119051454941323,,-3.0347580026018623,4.651474804086892
TUV,2016,,3808.69755015909,18.32539177,31.0,99.5169067382812,,10930.0,0.5005807431527,,,-0.301466450395575,,8.24504255932465,,-3.057919736680014,4.600327546697945
TUV,2017,,4165.66338700106,24.45763206,35.2,95.98486709594724,,10869.0,0.5005807431527,,,-0.559660160739733,,8.334630818508664,,-3.114439272099089,4.564190544625009
TUV,2018,,4466.12034928245,18.42199898,42.2865,92.4528274536133,,10751.0,0.5005807431527,,,-1.09159270779589,,8.404275379928293,,-3.2420402371244523,4.526698540963229
TUV,2019,,5115.13075950206,22.22294044,50.7996,90.1408450704225,,10581.0,0.5005807431527,,,-1.59388335810663,,8.539958241988996,,-3.3795973583288763,4.501373392306448
TUV,2020,,4976.11254109571,17.88715363,61.0265,108.133971291866,,10399.0,0.5005807431527,,,-1.73502922439289,,8.512404250942945,,-3.4219193741092164,4.683370933295566
TUV,2021,,5905.08198095343,18.57411194,73.3124,112.376237623762,,10194.0,0.5005807431527,,,-1.99103357602457,,8.683568611846425,,-3.503573546935032,4.721852506068286
TUV,2022,,5911.32727055301,21.28792,73.5846,118.421052631579,,9992.0,0.5005807431527,,,-2.00145390945735,,8.684625665651549,,-3.507042651279983,4.774246516032026
TUV,2023,,6344.7750188689,27.08968544,74.3146,106.930693069307,,9816.0,0.5005807431527,,,-1.77710654146662,,8.755386921500751,,-3.4348906403150785,4.672180896271052
TUV,2024,,6344.7750188689,,74.3146,95.1456310679612,,9646.0,0.5005807431527,,,-1.74703857618302,,8.755386921500751,,-3.425604397215522,4.555408676429028
TZA,2004,3.4,450.385284423828,5.7373414,0.877575,58.828670501709,3.105,38109668.0,4.73580143949058,33.609786736665,25.6740520256466,2.71326096371365,18459197.0,6.110103404053339,-1.3596893529331353,-2.562229135340003,4.074629329635945
TZA,2005,3.37,483.334869384766,6.32282543,1.1,55.8463096618652,3.193,39182076.0,5.03457009267163,36.9592732894013,28.5449716514674,2.77513941065557,19021824.0,6.180709724778907,-1.2536893896896366,-2.5542387974526037,4.022603447447862
TZA,2006,3.66,475.746734619141,7.598279,1.3,73.2211532592773,3.299,40294902.0,7.25097262082546,42.7681664691467,31.5031858875853,2.80055623798532,19602335.0,6.164885642504025,-1.1550815059823147,-2.5509751422729448,4.293484358172766
TZA,2007,3.62,543.198303222656,6.88427973,1.6,83.7538070678711,3.023,41435512.0,7.02551436974771,48.0583947796554,33.8875320870203,2.79133312179469,20013223.0,6.2974744525699755,-1.0821230242948425,-2.552158208295742,4.427881627198833
TZA,2008,3.89,675.977233886719,5.55704737,1.9,92.16517257690455,2.775,42570728.0,10.2783937621135,49.0265445510865,36.0601528558413,2.70285900109119,20409553.0,6.51615939779349,-1.019981729291197,-2.563578627199799,4.523582321424055
TZA,2009,3.73,693.823547363281,5.06306362,2.4,100.576538085938,2.5,43633982.0,12.1422278742988,43.5326006456317,30.9967357868291,2.46693695085578,20740296.0,6.542217673658876,-1.1712882842461456,-2.594685317675039,4.610919010643977
TZA,2010,3.73,736.530151367188,5.22392178,2.9,84.7566249901706,3.03,44758488.0,6.20015595647403,47.6404394295683,30.7705684106003,2.54448522649017,21118881.0,6.601950173784593,-1.1786115239420747,-2.5843533232011993,4.439783914180833
TZA,2011,3.73,775.392761230469,5.0559845,3.2,81.2205565921065,3.47,46029367.0,12.6909694699162,56.1661241821809,35.0995294827868,2.79985031213535,21614611.0,6.653369689663808,-1.0469824606549287,-2.551065643228568,4.397168375129358
TZA,2012,3.73,861.969909667969,5.01779366,3.95,78.2992447768831,3.223,47374260.0,16.0010938506338,54.3689490815138,32.9644448669364,2.8799437394168,22152965.0,6.759220362476647,-1.1097406336393578,-2.5408494218117097,4.360537957699707
TZA,2013,3.73,963.05712890625,4.64643383,4.4,74.193210569528,2.93,48824128.0,7.87072364573959,48.6316275295495,33.9571812287903,3.01455736724095,22738784.0,6.87011273392872,-1.0800698306756564,-2.5239106269985423,4.306672644228411
TZA,2014,3.73,1022.74841308594,4.01492071,7.0,69.14463593518789,2.125,50351512.0,6.13161432988012,45.3560223433065,33.1703490007101,3.08040316049107,23349936.0,6.930248805193481,-1.1035138115074514,-2.515728418599476,4.236200483665764
TZA,2015,3.73,939.127319335938,3.64969945,10.0,64.0960613008478,2.009,52020962.0,5.58816952959298,40.7576808778314,31.8711320581175,3.26181042317192,24221886.0,6.844951060363835,-1.1434695370689816,-2.4935264429107704,4.16038291587411
TZA,2016,3.73,953.0107421875,3.96350336,13.5042,61.0601160776836,1.931,53824013.0,5.17476629301493,35.4204704002636,32.7538452434608,3.40729531415315,25187717.0,6.859626175560768,-1.1161498187850112,-2.476070367277718,4.111858888347893
TZA,2017,3.73,986.674011230469,4.02325726,14.4634,67.2734642386931,1.854,55652890.0,5.31871605228931,33.1125919853124,35.1589886009781,3.3414302210835,26154191.0,6.894339702436956,-1.0452898791998109,-2.4839354949815027,4.2087658682393325
TZA,2018,3.73,1023.10626220703,4.32775831,15.4907,67.5348797150181,1.792,57437145.0,3.49445848856181,32.6426099043737,39.0488316106315,3.15572113764533,27078758.0,6.930598633682338,-0.9403572304923619,-2.5064505249289084,4.212644200934931
TZA,2019,3.73,1063.32250976563,4.02347755,16.5909,64.7094759010993,1.735,59174891.0,3.46428057999021,33.0185892502311,42.6304711470676,2.98060939385811,27975993.0,6.969153728155179,-0.8526009032648298,-2.5281554122969165,4.1699076498414955
TZA,2020,3.73,1117.41528320313,3.05028677,17.7693,68.4711470524733,1.792,60972798.0,3.29029062798325,27.9630151969884,40.5342442670396,2.99305168844906,28601375.0,7.018773514399859,-0.9030230316832529,-2.5265975606506106,4.226412445621146
TZA,2021,3.73,1159.85656738281,3.46963334,19.0314,74.4260315082726,1.876,62830412.0,3.69091958802199,29.9151840074048,41.459600723321,3.00113934816488,29917681.0,7.056051627647344,-0.8804507094339457,-2.5255862359282,4.30980576650714
TZA,2022,3.73,1207.52062988281,3.13497496,22.101,81.86925049534725,1.573,64711821.0,4.35027204269101,35.0034517101994,42.8203518814369,2.95046658393064,30944597.0,7.096324470169861,-0.8481566851714617,-2.5319395692414335,4.405123468532078
TZA,2023,3.73,1224.00219726563,3.05201221,29.0638,89.3124694824219,1.565,66617606.0,3.79923291384916,38.212034806339,42.726818190292,2.90250073555304,31961730.0,7.109881258222319,-0.8503434022384916,-2.5379909278019355,4.492141113995661
TZA,2024,3.73,1186.71691894531,,29.0638,77.3311793094267,1.557,68560157.0,3.05694676312373,41.5131207208244,41.3501218577049,2.87426672866542,32994873.0,7.078945881707162,-0.8830948175407528,-2.5415701194320195,4.348097228852864
UGA,2004,3.8,292.38185796262,4.70022202,0.719971,57.9115905761719,2.699,27154515.0,3.72128743978228,35.4600862456436,19.9444298032441,2.99944519470383,10044159.0,5.678060680679258,-1.6122202894954283,-2.525797997375145,4.058917547207801
UGA,2005,3.60000000000005,330.405402707025,5.80516291,1.74221,56.5311813354492,1.9,27963289.0,8.44872642299532,38.9942854839061,22.2017167509714,2.93492118829227,10334763.0,5.800320393531971,-1.505000568974917,-2.533896764221328,4.034792367964855
UGA,2006,3.39999999999998,346.518255310647,6.463305,2.52936,54.20000648498535,2.264,28794003.0,7.31067613561864,43.6332857896204,20.9249602485175,2.92745935131587,10633845.0,5.847935502121371,-1.5642274693267821,-2.534837586124846,3.9926810280947698
UGA,2007,3.2,401.389130865581,6.11309004,3.67197,51.8688316345215,2.667,29653430.0,6.1385108328505,46.7774166522822,21.8688822859194,2.94106654284048,10950905.0,5.994931357932793,-1.5201054597879007,-2.533122594455111,3.948718063230528
UGA,2008,3.00000000000002,472.842681495852,5.45474958,3.88,56.3994789123535,3.035,30539553.0,12.0508555482886,56.2582682050634,22.7482520102968,2.9444861420196,11284786.0,6.158762735908842,-1.4806818782552982,-2.532692064992299,4.032459919318664
UGA,2009,2.8,798.947089938247,5.78845549,4.1,73.8512191772461,3.6,31451151.0,13.0172561889185,47.0638780748379,24.5565945444507,2.94129171098808,11635163.0,6.683294723220978,-1.4041897509367147,-2.533094239957118,4.302052517673158
