economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
BDI,1009.58916929728,981.533210986845,998.069458519996,994.963590921008,1001.61751311947,988.19632868896,991.038897704986,994.691231245018,1002.27452805218,1014.5231007912,1022.29153627273,995.319068450023,1009.63596796379,1023.97040626757,1046.59511246023,1057.95005999167,1030.77026419371,1035.53857384938,1031.25412243175,1036.16712196238,1051.25931339275
BEL,53406.6918625201,54346.8934219286,55367.6227467907,56983.4612170062,56787.7366257414,55258.7071019666,56240.2030936239,56585.3025000677,56356.8251292135,56263.1752679668,57002.9092185204,57509.0245728702,57901.4976903148,58529.3302957534,59357.6896884394,60479.9769955466,57333.5424137922,60669.2137746531,62561.7810453236,63095.4017281289,63347.7858809235
BEN,2672.84404357157,2632.47251454328,2652.21841967159,2729.13741390352,2777.61974031765,2758.07243150648,2733.57399641151,2732.01249647957,2779.7264808532,2893.0467015352,2987.38236326153,2952.00218338705,2962.66381572265,3041.77929984989,3155.4510650627,3281.10470051465,3317.8597222557,3464.2886286745,3588.32519938147,3721.21254814808,3901.32588494392
BFA,1581.25620933294,1664.99543180023,1714.76034904509,1731.93046335077,1779.32710911571,1779.32305627973,1873.97146230828,1939.86659989406,2003.6646118745,2057.0639319853,2083.19844698304,2101.70266192027,2162.72578977814,2232.28781490944,2316.39432079045,2391.53626844484,2380.93171826574,2486.43093147762,2469.19956941259,2486.20669812871,2547.67232852209
BGD,3071.83778764611,3231.61370692891,3407.4273502159,3608.91543819399,3787.9382761855,3942.13631207203,4125.46390163202,4352.42643359325,4592.04840919812,4822.72621378266,5068.63965672741,5352.71133299566,5682.53553494306,6005.70718781048,6392.59334024091,6838.32611608243,7015.19792797056,7441.06913961254,7888.16389098304,8242.39798977242,8486.78495660517
BGR,16389.0282419117,17678.1074943214,19024.6223691232,20440.3375318665,21846.0454072872,21251.30543262,21724.3762726863,22321.1253679157,22618.9040490702,22954.4918743089,23455.5804023134,24562.750842738,25636.8508634132,26691.8686963123,27691.0089237623,29150.0422926763,28521.3251326769,30959.1118459807,32433.7937497005,33073.8179631314,34221.5294617032
BHR,54045.092888858,53478.2662415503,52691.9323366851,52731.7921672618,52765.3899455546,50665.7507489219,50704.8479679819,53132.3284162611,54516.8406594787,55376.4005147894,55065.8189472129,54149.9131524721,54107.0752236423,53859.7749589601,54893.0724411368,56749.9628370612,53814.2452592358,54954.6757895532,57572.997981018,57819.9051831242,58891.8304860737
BHS,34617.8051137459,35365.4663980219,35789.1322131898,35797.118972073,34498.0351399173,32630.263065979,32711.4592459383,32535.6625139135,33667.5547098911,32402.9163503108,32712.6356664811,32777.5849410742,32172.3365152976,33050.0350128611,33650.2164350935,33202.4902105068,26452.695760929,31064.6822166194,34342.9285316569,35221.2696932313,36244.0500123244
BIH,9344.86891184204,9814.51034158831,10430.4552500579,11178.7278411828,11983.7696596485,11826.6991802051,12142.9120522116,12487.7008428301,12626.9786875839,13135.7719791089,13458.9083902112,14220.1489744552,14873.7027917131,15554.7232481788,16349.0675137661,17029.3678184559,16747.1048417525,18286.7373324233,19298.1971056448,19805.0002774731,20527.6935527158
BLR,15052.1182160947,16579.8731683834,18349.8719060634,20019.6111676728,22137.9472928315,22236.8387691136,24012.6133040213,25404.7566082412,25879.1319400701,26147.6253584645,26564.4347246547,25513.2132958317,24846.8301529359,25503.9809845207,26363.4629778536,26798.8206398076,26731.4953869922,27611.1801135157,26537.5083081674,27782.4380139967,29040.9725790425
BLZ,12807.1658774384,12714.9697390831,12912.5300233774,12973.2067214746,12415.6811300464,12033.9096816588,11913.6635959061,11641.7717375703,11843.4153404212,12064.797259406,12272.2957895446,12348.7944978311,12063.0600374093,11572.3007931461,11451.8979413877,11765.9748661176,10045.1404163746,11716.3267818656,12565.3645829576,12371.0086545348,12621.4081961897
BMU,107803.199358077,109335.385931485,115170.899920201,118691.070025545,115942.72717347,108962.816946419,105968.875104213,101989.927295974,96711.0739703323,96549.7874807583,93042.2733051033,93859.8769494621,93265.0675364638,96437.191438851,95639.2267310584,95519.9206861686,88618.0830682257,92319.6714861219,98145.1689383889,103052.348367859,109311.936941299
BOL,7811.59684101948,8020.63568776794,8263.31896895542,8493.94848397403,8865.27246783163,9011.55629962953,9230.39808115934,9554.44502529396,9884.46163420335,10391.38337536,10790.8472899414,11144.6415727207,11448.0218032246,11755.2556195885,11920.3135079645,11930.9159145918,10285.6590750222,11202.4409836707,11487.7148799194,11616.1575595159,11329.1518061536
BRA,14911.260960772,15221.0138281917,15657.4795714009,16440.5837398046,17113.3679822772,16939.4407809047,18062.158110224,18627.8104527933,18832.2195524356,19241.5059814525,19183.1727445223,18357.0690615421,17620.9272434403,17724.4799577815,17917.7492122925,18018.62091495,17327.5157248143,18075.7060048757,18554.0461828519,19079.8122132253,19652.3654991704
BRB,21771.9014007178,22514.483943994,23766.6070131111,24145.753990727,24171.6517995745,22840.8841002763,22243.4579670705,22102.4817004397,21286.3318932135,20854.5676341718,20959.9650372142,20666.9651609374,20930.633669268,21035.7933581451,20727.4216338412,20737.9776890352,17728.0729247569,17682.7314537483,20716.2851304966,21318.6724772626,21837.7254102057
BRN,101497.754798655,99795.6850854526,102248.510300567,96752.6204091885,91275.5000919182,87875.8283546044,88586.5133683924,90279.6634042123,89718.4636049982,86606.6518910199,83310.6151819533,81910.1882959493,78880.6228501768,78966.8643142346,78099.0507802561,80228.1598170527,80280.8980640677,78248.797127611,76357.829114996,76616.7014884981,79071.7333801445
BTN,6517.99683290216,6850.80441609334,7140.85609148376,8195.07074477912,8470.03471622855,9019.11861272397,9985.28455483655,10714.686566371,11143.9445354588,11212.479426698,11744.5189124825,12400.2983237391,13320.9759036882,13482.3425280358,13854.8543977158,14555.1884045845,12979.9369485824,13458.812666743,14061.3120274588,14610.2959119536,
BWA,13984.8415112641,14361.9576327759,15275.5828811117,15850.2343496231,16040.3153236098,13489.9509168296,14545.0198074427,15236.7188843522,14957.6189142932,16369.4252971454,17052.1924105361,15994.9643042101,16905.588740873,17352.8958451454,17825.018569213,18106.0105471124,16289.3913582645,17960.6254447437,18647.3734588832,18932.4802712334,18068.5050714283
CAF,1236.28534712166,1219.5939445674,1251.87082171335,1284.55283590666,1283.2728263106,1402.68164770801,1479.41367757692,1517.14839091011,1577.98053252253,996.896355923912,1001.85598053496,1043.92171697157,1073.94477703739,1103.86609318724,1125.70091748228,1145.09563657752,1136.57052993758,1128.55237996459,1136.80171107045,1132.67643369804,1111.21941638883
CAN,51210.6796118735,52356.5578038534,53195.781842155,53761.8620298113,53711.6792064975,51552.4223837895,52558.4408142168,53681.1296700569,54034.8034751988,54712.178423981,55723.4835404159,55660.8675272614,55606.1549191947,56612.3285367448,57337.4909099991,57583.845798092,54092.8790317796,56995.1176781351,58321.0611834624,57517.4431587432,56706.8238031978
CEB,22666.0859774551,23837.3866148425,25490.8334936571,27204.989770166,28468.5964153978,27511.7402795635,27958.1572558149,29053.1410411621,29385.8411072238,29678.3493271629,30741.1875295978,32054.2619067409,33063.4235806357,34898.8933468064,36731.3989449303,38302.2924608286,37280.2858458592,40122.4708640722,41834.7254053812,42109.6797264149,43029.3833307254
CHE,68263.4411390817,69692.5954827493,72077.8598470308,74234.3010991931,75355.202488789,72709.8138293408,74290.2619629278,74800.8886353533,74883.6158924249,75354.1550500884,76189.6018443969,76566.0772542148,77301.2124304857,77626.9027376941,79261.3563641288,79596.7029465098,77324.8870934007,81001.4111206118,82777.293582076,82295.2993346568,82286.1801896488
CHI,,,,,,,,,,,,,,,,,,,,,
CHL,19961.9835794233,20918.5275760681,21968.5375355854,22878.8834428789,23509.7816931441,23013.5817893814,24116.7694715614,25366.2690249825,26670.4971338402,27291.3576525957,27505.0495524158,27811.3745158617,27958.7284996682,27892.9946862827,28492.6611456515,28218.5343879081,26248.5616432825,29089.850459728,29569.4775527937,29563.6780243659,30182.7871224714
CHN,5684.16873050981,6298.32318474516,7057.09993331646,8013.71568302247,8743.74491232188,9518.43214737204,10476.3123630451,11405.0172845617,12217.8543175465,13080.8288162668,13968.581485524,14856.7807604461,15772.7647598696,16757.9736318662,17806.7902349725,18820.5131033646,19215.1541703465,20843.2978347377,21499.3822834427,22687.0758723942,23845.6197217259
CIV,4088.94517328472,4032.24588029846,4049.26032962496,3999.69095682208,4096.72346918931,4151.05360874982,4338.65248394142,4017.40782040208,4234.18055593319,4597.18635239866,4907.57450294516,5110.86240809881,5320.84646239855,5556.11366322898,5670.20005356688,5894.87874674153,5787.81533309018,6045.20480490879,6272.26395759415,6520.89886460031,6747.03796777388
CMR,4222.96638689885,4199.72270969362,4241.51744722821,4302.6192630847,4300.26640352464,4286.57718166156,4286.58302947378,4307.85195558527,4382.11120797355,4473.57231896434,4588.4864949903,4698.66677843587,4767.13186148953,4797.97544185544,4851.48003949961,4882.35560028896,4763.48194388066,4793.55628200196,4843.65038202917,4875.25120768005,4916.93354019494
COD,987.746920877671,1016.6338907666,1036.13329616563,1091.0040733455,1136.9467210438,1108.57506967795,1158.01422439658,1205.73984565432,1267.23827814087,1342.74156112016,1392.75841334673,1433.21579814709,1388.80163211633,1395.71961761712,1431.7285269693,1394.76461472893,1361.02791099008,1402.38560295221,1484.33841881449,1559.33806475859,1602.074979895
COG,7577.44597274153,7876.11806658285,8192.57979719023,7375.82454100145,7587.28826163492,8138.45033818822,8583.66179834288,8492.42098392103,9079.68656400891,8798.49382506314,9159.25664414045,8977.70681641417,8001.8255194505,7372.77046737599,7029.33651566257,6939.36913397466,6350.50913409722,6263.21161292636,6205.1050414034,6172.28776650683,6181.47071635967
COL,11607.9384935105,11999.2549591305,12636.6246577724,13318.3033138168,13591.0609028567,13586.7518430982,14037.0642668639,14852.3699513061,15279.4790008058,15912.2471293239,16480.3631474161,16821.3801400631,17003.244366485,16986.0334182842,17104.1313545678,17336.7716030551,15861.4999291295,17383.0901728295,18458.7209460704,18382.9976800475,18477.2146664536
COM,3058.38338421434,3166.36268239583,3048.69236655028,3012.54746686894,3070.36952892496,3107.45297029798,3161.37481152565,3227.21653582919,3263.16316392712,3337.59859719238,3334.57512780965,3302.38635129322,3342.76677092883,3401.85239322573,3457.58685798732,3451.42139338772,3377.74564051638,3377.88518482587,3399.27830776976,3434.40177367723,3482.53486037478
CPV,5268.30312485708,5565.76951208069,5941.38218091511,6767.40677380347,7169.13944155367,6994.5740991365,7072.12150207342,7325.78441834692,7397.82220702474,7440.66242650114,7491.02198228243,7560.13649202469,7881.30336227784,8234.56000312459,8531.12961646549,9111.62993173269,7207.86853962048,7685.41921393669,8850.1066918812,9228.4604533114,9848.95276350935
CRI,15323.2892201469,15703.9624720506,16620.1356432064,17743.6227382356,18334.0135988616,17932.6147807275,18660.9198222783,19254.9142153099,19960.7933253035,20232.2670799446,20724.9217693423,21254.7840932049,21925.6000803999,22622.5534502517,23005.3121471794,23364.783127574,22211.8613921698,23852.9253020002,24831.7193480342,25979.6286150717,26973.4361580719
CSS,20350.4732151438,21417.1585347256,23105.1828868098,23936.2004354488,24319.2051196131,23485.3476402604,23877.4955111535,24001.2271122678,24894.4243263693,25222.7295712406,25714.3530662098,25478.6360975466,24416.1391025428,23997.9154256351,24087.8015339711,24160.9840718485,22301.7958051804,23493.3054375431,27046.7067687718,29615.1562021489,33979.6741599298
CUB,,,,,,,,,,,,,,,,,,,,,
CUW,34288.7399622733,33651.5043118952,33334.856514074,33490.2548894598,33795.1308443427,33397.3971262631,33004.554021481,32704.3556352667,32320.8769567577,31753.384552981,31128.647036239,30861.3205298178,30209.7882652792,29729.1010079753,29256.8154066419,28659.6557023251,23669.7707733018,24905.7684453244,26734.6457811916,27617.9204919042,28762.058180431
CYM,,,92213.0768210996,92343.7260001978,89380.1514801096,80631.8445943625,76294.7641308594,75094.8308085917,73982.6776694492,72988.7055776283,73051.8114153598,73315.3848584988,73941.8590538337,74599.6807673263,76124.5501254035,77476.8412822407,72183.1359045895,74160.4914000191,76818.8004032916,79675.8568481808,
CYP,40020.08984375,41362.265625,42595.37890625,43823.94140625,44295.8125,42253.5625,42102.45703125,41212.859375,39190.3828125,36650.72265625,36105.05078125,37258.65234375,39501.015625,41418.16015625,43510.2109375,45454.36328125,43402.5390625,47632.76953125,50623.796875,51453.7265625,52635.58203125
CZE,33452.3408000614,35535.7479961511,37786.8781740905,39629.0061324728,40328.3426630095,38175.1422773334,39097.3886218756,39708.1626280195,39347.0492956846,39317.5535692377,40158.0164275735,42066.5759800801,43069.4659744727,45177.5226053634,46301.082036029,47763.6165520254,45119.9387309139,47796.0337408466,48390.661678675,47558.4106763314,47963.8968485782
DEU,50704.9219887398,51182.9591615718,53222.0409282226,54832.9610328446,55425.1109251245,52484.8550055388,54738.7083006711,57858.4222602355,58017.5855783147,58089.1708538296,59108.6977289315,59573.7089539686,60407.9713703755,61866.4872205276,62381.3478772241,62849.3741865912,60203.289760263,62530.7653199239,63676.087821808,63039.3719696432,62554.5547232436
DJI,,,,,,,,,,4469.07409933135,4705.04926772184,4961.8681860592,5226.50026106607,5421.95649149613,5590.50426604853,5809.30455041341,5791.47767679877,5960.10807396825,6180.67998594606,6510.67859061619,6871.12440453129
DMA,14962.2456326016,15080.5206040984,15727.7053232323,16560.5179009944,17738.0405685048,17534.0339616963,17516.7879573152,17475.0411061698,17431.1288003063,17282.6368040368,17520.8546265613,16920.9126555668,17364.0773046793,16314.2295558891,16877.1244880642,17619.4335416769,14919.5307686719,15808.9743503945,17550.8009946466,18278.2253401989,18739.3640404986
DNK,59893.0929898784,61137.6803582961,63262.7404572232,63604.5626658193,62968.1612290596,59516.5093273659,60190.6346060499,60729.0557255127,60497.6919146995,61085.0312821103,61552.7997775157,62405.7161942122,63823.4502019665,65352.3988081353,66238.705427981,67131.4657009734,65744.4367251959,69715.1809680929,69475.3198650883,69379.22000847,71431.2926242287
DOM,11131.2709216332,12022.5080544053,12961.9183632133,13754.9212674095,14030.1411084465,13992.4103270189,14975.0010126958,15258.0858148503,15487.2776356321,16054.7677297656,16993.587444403,17973.1870256815,18968.9752386179,19501.8743054078,20662.848586153,21451.286441995,19545.4099552943,22053.4589869955,22986.95808105,23282.4895071054,24229.8894872915
DZA,13226.7650481165,13738.495644436,13920.6940553701,14114.6745192683,14206.7767147039,14104.42817214,14496.4211312996,14641.9640935685,14697.5396133853,14778.1914257233,15073.7629403565,15239.5171456469,15511.6858768094,15427.6641894713,15343.4261222434,15199.1989965639,14194.1557479619,14496.8654697299,14782.2002970247,15159.3242373415,15501.9197003966
EAP,6083.37390178038,6602.0046296219,7224.72891726156,8000.04080841655,8584.59698871691,9145.55937197305,9942.05612363275,10666.0129785643,11359.0367912208,12057.7114894969,12769.1064142494,13493.1686234666,14243.6077151602,15060.0306649328,15924.7426633518,16753.9447628439,16816.6802044952,17966.232211586,18600.020880698,19522.1886573188,20452.5458896974
EAR,6678.56505296278,6968.13714693824,7283.69002120217,7596.35423975143,7746.87244825617,7774.33773434469,8162.08649693166,8455.27831338001,8674.24262047591,8917.86326089082,9205.14247785474,9536.09869046762,9888.49532136733,10252.1107558915,10561.4040343593,10736.257704342,10191.9689254726,10831.8239677513,11378.5486537272,11835.7249251279,12188.0408691409
EAS,9822.02938797795,10389.5348605951,11051.69155641,11869.0038166633,12377.8566019042,12714.2237120724,13649.8185307789,14359.678331653,15050.3477434872,15769.1578101278,16465.1829478381,17172.6129371519,17906.8923162744,18741.9275790888,19592.7875603847,20360.1789601769,20267.2549941632,21508.4957629882,22175.197366634,23098.9334393628,24015.9380810406
