economy,Year,Edu_Spending_GDP,GDP_per_Capita,Health_Spending_GDP,Internet_Usage,Learning_Outcome,Unemployment_Rate,Population_Total,Inflation_Rate,Trade_Openness_GDP,GFCF_GDP,Population_Growth,Labor_Force,log_gdp,log_sk,log_n_g_d,log_h,log_internet,log_trade,predicted_log_gdp,growth_gap
UMC,2020,2.69836816571079,8346.18727671434,5.88471459119753,74.9,94.1927032470703,6.75556740419309,2784871872.0,1.82893754590454,42.6567911287372,34.6859140688662,0.536733852008647,1367134382.0,9.029560099998037,-1.0588365160638444,-2.8937654164853592,4.545342718359936,4.316153890523174,3.753186490540767,8.944961236708929,0.08459886328910748
UMC,2021,2.67021595752173,9918.6994774671,5.72215945933347,79.4,95.3731307983398,6.36904271221514,2796004294.0,4.05681586746239,47.6181805542543,34.7225984709581,0.398949427804185,1402984014.0,9.202177090622639,-1.05777945824297,-2.9189658017518805,4.557796890967901,4.37449836825309,3.86321463273228,9.05689594963243,0.1452811409902086
UMC,2022,2.67021595752173,10324.5193124329,5.98352465416342,82.7,95.0609817504883,6.0139105551006,2803106334.0,9.0383038041557,50.7033867956823,34.1237589696157,0.253684711043361,1387806416.0,9.242276861048913,-1.0751763003350185,-2.946240505843349,4.554518598825446,4.415219602029645,3.9259927090698628,9.120266543441069,0.12201031760784353
UMC,2023,2.67021595752173,10657.9686111279,6.0803456327193,85.3,95.1663131713867,5.60542943795658,2809097616.0,5.07719516250971,46.8657180267541,33.5132664536005,0.213509142909735,1403232197.0,9.274063117752737,-1.0932288120094236,-2.9539170170431186,4.555626025934752,4.446174454497633,3.8472864492536853,9.098425294957131,0.1756378227956059
UMC,2024,2.67021595752173,10996.101696107,6.0803456327193,86.9,95.1663131713867,5.50058558675509,2817912698.0,3.05252419284577,47.32254661857,33.0991144592614,0.313313419354961,1404842761.0,9.305296097706083,-1.1056636574595897,-2.9349545492268216,4.555626025934752,4.464758032271346,3.8569868546225874,9.116269082838,0.18902701486808304
URY,2004,2.29339650507534,4168.66065438387,8.26618195,17.0631,94.463020324707,12.98,3283148.0,9.15760507540997,61.4766880860242,14.3674894654533,0.0597775816533495,1489512.0,8.335350077202506,-1.9402022078091818,-2.9838476598498094,4.548208438599044,2.836918237162075,4.11865804744097,8.24831702342789,0.0870330537746149
URY,2005,2.66321886447055,5284.25677987129,7.72390509,20.0882,95.6003799438477,12.009,3285771.0,4.6992773903564,58.8776963255774,16.5474574137668,0.0798609372229262,1495508.0,8.57248726019791,-1.7989377265555158,-2.979886299334807,4.5601767943574885,3.0001325779984733,4.075462348749947,8.329312427262934,0.24317483293497588
URY,2006,2.77676594957253,6001.33294783172,7.70998907,29.4,97.118896484375,10.844,3289506.0,6.39764974385131,61.9715745165876,18.2369877479984,0.113607393322573,1563527.0,8.699736881508718,-1.701718360374733,-2.9732650830237883,4.575935964853462,3.380994674344636,4.126675804374137,8.614799985315345,0.08493689619337275
URY,2007,3.08138779636895,7222.05403645877,7.46167231,34.0,99.9423828125,9.403,3295153.0,8.11464561179313,59.2104478374095,18.5776877721605,0.171519933968135,1617437.0,8.884894684010847,-1.6832089074854188,-2.962003549578317,4.604593848062291,3.5263605246161616,4.081098010058562,8.703924982719936,0.18096970129091083
URY,2008,3.38600964316536,9423.96562595893,8.09081745,39.3,101.830718994141,8.025,3302177.0,7.87707374730888,65.2080950071821,20.5533368844523,0.212934707039678,1630866.0,9.151011258384603,-1.5821468794223943,-2.9540272053065197,4.623311816888697,3.6712245188752153,4.177583617777693,8.860458346037575,0.29055291234702807
URY,2009,3.69063148996167,9881.39573127081,7.91611385,41.8,101.85563659668,7.74,3310091.0,7.06221874388574,53.3944192683736,18.7448197710682,0.239373352045262,1659322.0,9.198409049111728,-1.674252750620074,-2.9489682841108507,4.623556483278756,3.7328963395307104,3.9777062324219075,8.794207134319446,0.4042019147922815
URY,2010,3.99525333675808,12641.0576849008,7.87757301,46.4,101.169009063104,7.158,3318580.0,6.69870886978132,51.6990372012256,19.0701045232462,0.256129913246022,1657841.0,9.444705341802985,-1.6570482853605695,-2.9457751879792013,4.616792475399681,3.8372994592322094,3.9454391585406983,8.838616037051642,0.6060893047513431
URY,2011,4.2998751835545,15132.2675725587,7.91521358,51.4047,100.766145130321,6.307,3326825.0,8.0928320630299,53.2470340109018,19.1185676352051,0.248141512237734,1712840.0,9.624584668160601,-1.6545101956477863,-2.947296169725528,4.61280243742069,3.9397296079694817,3.9749421037124817,8.920454807167268,0.7041298609933335
URY,2012,4.43640001928318,16259.5940814256,8.03330803,54.4538,99.7867967654572,6.451,3335401.0,8.09776580573602,55.0611541633768,22.153383549043,0.257451630638359,1702318.0,9.696438418548222,-1.5071799449985122,-2.94552375750448,4.6030358776261,3.9973526357409064,4.008444461415882,8.959125475855927,0.7373129426922951
URY,2013,4.57292485501175,18335.2594772322,8.0844841,57.69,100.56447858473,6.444,3345337.0,8.57513504005397,49.7178464746233,21.8425032313125,0.297452387025821,1702341.0,9.816581232422315,-1.5213124248610548,-2.937944162687736,4.610799099733492,4.055083848268798,3.9063639526437988,8.945389303596256,0.8711919288260592
URY,2014,4.70310441855026,18322.4276767157,8.038908,61.4625,100.99762842751,6.547,3356334.0,8.87735333229828,49.0876240632174,21.4381228100328,0.328187100513488,1739488.0,9.81588114455334,-1.5399994091208984,-2.93215913690383,4.6150970356498355,4.118427232738058,3.893606947290135,8.984402953787693,0.8314781907656457
URY,2015,4.58119236391205,17125.9016800298,8.25703716,64.5708,100.721856543441,7.488,3368017.0,8.66626987079328,45.3282408087534,19.7862365239738,0.347483697847475,1724536.0,9.748347314592769,-1.6201836150508686,-2.9285440725741867,4.6123628222850455,4.167762296216263,3.8139302556568544,8.975690360912669,0.7726569536800998
URY,2016,4.4077021483488,17009.7584207276,8.63852501,66.4,102.392839746712,7.841,3379283.0,9.6394134763508,48.4705583785623,16.9435969015498,0.333941294134426,1725328.0,9.74154248309785,-1.7752801874527626,-2.9310797662628834,4.62881678581207,4.1956970564823886,3.880956569876803,9.056789001140269,0.684753481957582
URY,2017,4.58231071781121,19184.6502617082,8.71702194,70.3224,97.1667633056641,7.89,3388438.0,6.2180938256186,46.3780042035515,16.2395166023116,0.270549143036717,1721302.0,9.861865772736843,-1.817722617565084,-2.943035627148695,4.576428711691385,4.25309038248735,3.8368252994989964,9.035629514908155,0.8262362578286879
URY,2018,4.76060307392764,19249.9404677501,8.9001112,80.7268,101.573882159122,8.336,3394534.0,7.60653360377047,47.7913104806475,14.7561747626298,0.179744266709225,1718627.0,9.865263247126737,-1.9135085628276043,-2.9604145002965603,4.620786436734445,4.391070614320798,3.866843833863975,9.184960735066447,0.6803025120602904
URY,2019,4.76156907322803,18315.7316980028,9.240695,83.3515,101.250709098621,8.836,3397206.0,7.88198870879619,49.7448341159636,14.4910061718462,0.0786838170441181,1721844.0,9.815515625165808,-1.9316419930154722,-2.9801180491006547,4.617599709405295,4.42306660543559,3.906906621348128,9.229270130543682,0.5862454946221263
URY,2020,4.62960400140192,15757.5355995779,9.08774948,85.471,100.92753603812,10.413,3398968.0,9.75640636078194,47.7318733182088,15.4357491872963,0.0518527053450753,1665492.0,9.665073980599557,-1.8684839910002933,-2.9854151376364673,4.614402794370987,4.448177137121182,3.865599378481613,9.21532211842722,0.4497518621723362
URY,2021,4.62960400140192,17881.818721099,8.91955471,87.6444,100.503541862251,9.328,3396695.0,7.74791402314762,58.3150410230338,17.6712600620307,-0.0668956092956434,1721005.0,9.791539761736832,-1.7332305913879626,-3.0092017022526405,4.610192969288589,4.473287718852686,4.065860053615865,9.334125188615776,0.4574145731210564
URY,2022,4.62960400140192,20818.6146091144,8.89015961,89.873,100.222951100821,7.877,3390913.0,9.10437983075437,61.0307951043821,19.0189634315017,-0.170369337727093,1733922.0,9.943602798606014,-1.659733629225486,-3.0304001886857153,4.607397215324559,4.49839756266426,4.111378574562348,9.370161065166606,0.5734417334394077
URY,2023,4.62960400140192,23019.4221560046,9.01887608,89.896,101.1690082913,8.355,3388081.0,5.86910359896119,52.910987066463,17.1960361195822,-0.0835522251458198,1779292.0,10.044093580136517,-1.7604912868920728,-3.0125839132300745,4.616792467770822,4.498653446605601,3.9686110123168334,9.30244438329027,0.7416491968462466
URY,2024,4.62960400140192,23906.5133029408,9.01887608,91.9911,101.1690082913,8.209,3386588.0,4.84914366613156,52.4649167856379,16.2379503195638,-0.0440759548302792,1799101.0,10.081906223927517,-1.8178190710694648,-3.0045865481720266,4.616792467770822,4.521691833239074,3.9601446945157526,9.31696123940032,0.7649449845271974
USA,2004,4.68150127233305,41724.6316287624,14.55123138,64.7583,98.8321990966797,5.529,292805298.0,2.67723669309172,24.4480622643257,22.1277420778003,0.925483968943482,151218126.0,10.638846919941331,-1.5083380670537074,-2.8259078197806256,4.593423453447626,4.170661877692796,3.1965509597873827,8.596554897834096,2.042292022107235
USA,2005,4.44733636935943,44123.4070679055,14.57946205,67.9681,98.8321990966797,5.084,295516599.0,3.3927468454955,25.6385530316517,22.9346369798954,0.921713167161207,153120588.0,10.694745693139893,-1.4725218862789433,-2.8265443926115306,4.593423453447626,4.219038477458939,3.2440971964370653,8.653075873835508,2.041669819304385
USA,2006,4.68841276947343,46302.0008800056,14.70878792,68.9312,98.8321990966797,4.623,298379912.0,3.22594410070404,26.9752780973197,23.038167049868,0.964253917136075,155267046.0,10.742940454691437,-1.4680179084523348,-2.8193862150193736,4.593423453447626,4.233108905711643,3.2949208205375697,8.690744411730433,2.052196042961004
USA,2007,4.60755913332684,48050.2237771135,14.91832542,75.0,98.8321990966797,4.622,301231207.0,2.85267248150138,28.0120176822667,22.3230160837388,0.951055242772428,156588966.0,10.78000207155957,-1.4995519284043421,-2.8216016304290528,4.593423453447626,4.31748811353631,3.332633621032066,8.770901030238262,2.0091010413213084
USA,2008,4.71428397393142,48570.0459804586,15.20723629,74.0,98.8321990966797,5.784,304093966.0,3.839100296651,29.8677957945319,21.235478492072,0.945865287282592,158272885.0,10.790762282023687,-1.5494968892969747,-2.822474117692619,4.593423453447626,4.30406509320417,3.3967808362186482,8.802642980397934,1.988119301625753
USA,2009,4.71215385260814,47194.9433547336,16.20067596,71.0,98.8321990966797,9.254,306771529.0,-0.355546266299747,24.7595311689876,18.8101380427197,0.876651298802912,158353162.0,10.762042033519604,-1.6707742039078386,-2.8341830933145755,4.593423453447626,4.2626798770413155,3.2092105126204697,8.678043472032076,2.083998561487528
USA,2010,4.84096628264901,48642.6100179312,16.19722366,71.69,98.8321990966797,9.633,309378227.0,1.6400434423899,28.2198952346731,18.3139445259228,0.846129865832117,158330168.0,10.792255175108533,-1.6975074203601692,-2.839390305068848,4.593423453447626,4.272351267864781,3.3400272339682053,8.761650880318719,2.030604294789814
USA,2011,5.05,50024.868799398,16.14000511,69.7295,98.8321990966797,8.949,311839461.0,3.156841568622,30.8424862411943,18.7369868048565,0.79239433316435,158537150.0,10.820275536747806,-1.674670711601216,-2.8486244508388285,4.593423453447626,4.2446234706923684,3.4288931628644708,8.792774017921758,2.027501518826048
USA,2012,4.50200166934699,51708.4011556577,16.11975479,74.7,98.8321990966797,8.069,314339099.0,2.06933726526067,30.6818353657295,19.5126025510627,0.79838290137163,159682753.0,10.85337554547032,-1.634109644500508,-2.8475911174188213,4.593423453447626,4.3134800921387715,3.423670797582278,8.832246462330342,2.021129083139977
USA,2013,5.59858947799959,53179.0127634561,15.95227051,71.4,98.8321990966797,7.375,316726282.0,1.46483265562717,30.0079539684645,19.7983980671233,0.756560083436754,160132463.0,10.881419100567834,-1.6195691572614879,-2.8548300974165377,4.593423453447626,4.268297869345539,3.4014624788029533,8.788806797204,2.0926123033638344
