Year,Edu_Spending_GDP,GDP_per_Capita,Health_Spending_GDP,Internet_Usage,Learning_Outcome,Unemployment_Rate,Population_Total,Inflation_Rate,Trade_Openness_GDP
2019,1.76374090999532,2225.87705485686,5.05801058,52.3059,81.4103628494242,0.119,16481304.0,1.94257500833107,115.736679072448
2020,1.76374090999532,2081.73914242939,5.13031435,53.6508,89.3599624633789,0.172,16725474.0,2.9402951426397,122.105396346568
2021,1.76374090999532,2167.40324198499,6.33888054,57.9592,90.234069720081,0.396,16974305.0,2.92073477592949,146.179846509715
2022,1.76374090999532,2325.03050040841,4.46856117,59.6606,87.2572415781805,0.245,17201724.0,5.34370264895437,145.873632761406
2023,1.76374090999532,2429.74853452838,4.61706829,60.7171,87.630151233724,0.256,17423880.0,2.12746796594194,134.206842395931
2024,1.76374090999532,2627.87969756224,4.61706829,60.7171,90.9948884997473,0.254,17638801.0,0.808042016536654,143.447009703011
2004,3.61,17121.6301633201,4.43287992,72.7,100.183616638184,3.42,48082519.0,3.59066298882578,67.9270638751076
2005,3.42,20167.0474902506,4.65223551,73.5,98.9105987548828,3.482,48184561.0,2.75379162735039,66.1695148242697
2006,3.73,22609.7059431449,4.95851803,78.1,99.0125885009766,3.254,48438292.0,2.24234028518921,68.3749509402263
2007,3.7,25078.4853957105,4.95834208,78.8,100.219192504883,3.013,48683638.0,2.53457382137932,71.3239614988013
2008,4.0,22252.3125108061,5.24642324,81.0,99.8805770874023,2.959,49054708.0,4.67389655533408,92.0833544961819
2009,3.93,19937.3029137734,5.68525076,81.6,101.570198059082,3.363,49307835.0,2.7564965449393,83.1246099057162
2010,4.04247731969356,24071.2620526362,5.79390717,83.7,101.454292297363,3.324,49554112.0,2.93928652655686,88.0278677123124
2011,4.15495463938711,26175.2398553363,5.90292883,83.7591,97.619873046875,2.992,49936638.0,4.0259650043609,101.68061646213
2012,4.11,26600.5477433903,5.9576025,84.07,102.071601867676,2.812,50199853.0,2.18707104433314,101.51727207905
2013,4.562913544176,28449.3591104972,6.06858635,84.77,104.404968261719,3.067,50428893.0,1.30134754547413,94.1675235855873
2014,4.59576910710839,30667.0912467447,6.24487352,87.5568,98.2270202636719,3.082,50746659.0,1.27477446401322,86.9342577972039
2015,4.63873508046876,30171.7906545222,6.46202612,89.8963,100.521743774414,3.546,51014947.0,0.70633177245575,75.3881774564907
2016,4.15127890462568,30832.0628072516,6.6356945,92.843,103.802207946777,3.65,51217803.0,0.971685739912168,69.8997221316919
2017,3.66382272878267,33296.9845439195,6.79827499,95.0694,97.8568572998047,3.653,51361911.0,1.94433230786366,73.1921408264016
2018,3.76295083608972,35363.9508228687,7.14222002,96.0229,96.7625503540039,3.824,51585058.0,1.47583935002645,74.7075162140824
2019,3.84041475855001,33826.9443301597,7.69397116,96.1576,99.9055786132812,3.746,51764822.0,0.383000303608136,71.4470632403511
2020,3.84041475855001,33645.7719545073,8.02722836,96.5051,101.201568603516,3.931,51836239.0,0.537288023411737,65.544957860621
2021,3.84041475855001,37518.4635305697,8.34412766,97.5713,98.4509506225586,3.639,51769539.0,2.49833333333339,75.3063047610912
2022,3.84041475855001,34822.4048404971,8.8595314,97.1686,96.0156021118164,2.857,51672569.0,5.08951365062842,90.5851475278549
2023,3.84041475855001,35674.095995632,8.5650692,97.416,98.2711029052734,2.675,51712619.0,3.5974562502901,82.2580090716629
2024,3.84041475855001,36238.639908315,8.67656994,97.8956,98.2711029052734,2.784,51751065.0,2.32174328643542,84.6424951192038
2004,4.68,27552.2827399787,2.35702467,22.9271,102.311187744141,1.7,2157320.0,1.24856443679889,89.2976416790834
2005,4.02,36122.6142741227,2.013309,25.9261,113.923011779785,1.455,2236788.0,4.14297583631023,92.2426800942645
2006,3.19,42946.6374104066,1.8213098,28.7912,110.745834350586,1.3,2364733.0,3.05701339166722,89.7130931980522
2007,3.19,45709.4132876371,1.92673647,34.8,107.568656921387,1.5,2507887.0,5.48494983277596,91.7325033915889
2008,3.19,55585.1889344442,1.92400301,42.0,105.44631422062668,1.75,2651421.0,10.5827097865144,92.6834562516721
2009,3.19,37907.1001320042,2.70638776,50.8,103.32397151986633,1.64,2795484.0,4.60959548447787,88.8110649851457
2010,3.19,39212.252220155,2.67879915,61.4,101.201628819106,1.82,2943372.0,4.49640287769787,97.0280216600064
2011,3.19,49169.6063813095,2.33303547,65.7691,100.379725128004,2.051,3132814.0,4.8394034987095,99.1164927646913
2012,3.19,52155.2225833921,2.33311439,70.45,96.5080331631458,2.227,3337109.0,3.25514600287211,101.011435104032
2013,3.19,49651.0439275077,2.48789287,75.46,97.5537652607587,2.465,3507844.0,2.68229684085039,97.6054913328151
2014,3.19,44368.7813457751,2.9159987,78.7,96.8045237756527,2.9,3665876.0,2.90892672858625,100.037189841844
2015,3.19,29882.2126495698,4.21497965,82.0,96.0552822905467,2.2,3834574.0,3.27170166092133,98.6999884455485
2016,3.19,27323.6890735517,4.73096323,85.6,95.3060408054407,2.16,4004096.0,3.19839776658374,96.1576723758617
2017,3.19,29047.6536135703,4.65326786,98.0,90.5946872934493,2.23,4154812.0,2.17183298510006,97.840046457409
2018,3.19,32067.9623756889,5.17201853,99.5988,88.4411095185903,2.202,4323515.0,0.543133148199567,102.785630655
2019,3.19,31707.8737443551,5.18200397,99.5427,82.5096333722399,2.213,4442316.0,1.09184802655856,91.6857123895953
2020,3.19,25236.0755848941,6.11295223,99.1059,83.3921875,3.489,4400267.0,2.101729548274,82.0125101293052
2021,3.19,34018.6342592913,5.37273169,99.7,80.4330430689574,2.97,4360865.0,3.42362947609188,82.0019394603961
2022,3.19,39981.7691035833,4.20024538,99.7237,80.4330430689574,2.133,4589643.0,3.98064961990313,90.9204116970196
2023,3.19,34075.849012909,4.96311998,99.7473,80.4330430689574,2.08,4853420.0,3.64216403030709,96.0797881582
2024,3.19,32717.7186631255,4.96311998,99.7473,80.4330430689574,2.151,4897263.0,2.89855072463762,96.0797881582
2004,4.19727471269442,4149.53705480589,6.5935887204588,16.2,93.5759429931641,8.37144323116109,488032486.0,5.29621445194822,40.599705853524
