economy,Year,Edu_Spending_GDP,GDP_per_Capita,Health_Spending_GDP,Internet_Usage,Learning_Outcome,Unemployment_Rate,Population_Total,Inflation_Rate,Trade_Openness_GDP,GFCF_GDP,Population_Growth,Labor_Force
PRY,2006,3.63666666666664,2439.43124694576,5.01927567,7.96207,98.0814666748047,5.277,5505148.0,9.58934941129229,84.7335313048126,19.2755065466128,1.04172810758939,2393784.0
PRY,2007,3.5,3211.93621659546,5.02042723,11.21,99.7209396362305,4.713,5559386.0,8.13047417698577,79.0011374202968,17.8836584721614,0.980401604621513,2507778.0
PRY,2008,3.59666666666667,4384.95469437803,5.03776026,14.27,100.532470703125,4.415,5613574.0,10.1547846489023,80.7775746572591,18.9270603992875,0.969992282647573,2576022.0
PRY,2009,3.69333333333333,3941.84815479431,5.52496862,18.9,101.040939331055,5.46,5671236.0,2.59194673430567,70.8419818624334,18.5322818455041,1.0219490065143,2639352.0
PRY,2010,3.79,4750.96273669458,5.46593952,19.8,99.700252378179,4.569,5737971.0,4.65116279069765,81.2575233746789,21.2916134287483,1.16985801191993,2621740.0
PRY,2011,4.84,5805.40154542925,5.82225847,24.7635,96.060889304313,4.67,5814626.0,8.2539682539683,78.4921238489902,20.9477801569282,1.32708039585856,2686754.0
PRY,2012,4.88,5642.16991672846,6.53144598,29.34,95.9523198357184,4.085,5897008.0,3.67591897974496,74.7649574561086,19.536014511612,1.40686361602641,2882296.0
PRY,2013,4.49526978897383,6435.68342733004,6.0642848,36.9,,4.385,5982445.0,2.68385738718582,73.369871384133,19.0570473119846,1.43842436376869,2886676.0
PRY,2014,4.11053957794767,6652.25478942461,6.62719059,43.0074,,5.034,6069811.0,5.02882767456766,69.0837249630891,19.777462531577,1.44981205714477,2866433.0
PRY,2015,3.72580936692151,5879.33792308762,6.69165802,49.7163,,4.556,6159103.0,3.12900274473925,66.9150655259457,19.3997932117964,1.46036822105512,2922145.0
PRY,2016,3.34107915589538,5775.15963399596,6.67556572,53.4041,98.1086017794463,5.255,6249126.0,4.08682280577241,67.7593152322119,19.0796183746636,1.45104639106418,3066119.0
PRY,2017,3.31010456456357,6152.2671153779,6.60902548,61.0758,,6.138,6338660.0,3.60247741348943,71.0801344038459,19.1922400182251,1.42257756735462,3167703.0
PRY,2018,3.27912997323176,6258.44991640984,6.74497652,64.9935,,6.217,6427382.0,3.97561015740694,72.0692236259495,19.9488227837632,1.38999117307295,3257956.0
PRY,2019,3.24815538189995,5821.18199548738,7.16081905,68.5176,,6.595,6515058.0,2.75709727562775,71.2221617342433,18.7092695745689,1.35488116957369,3334564.0
PRY,2020,3.21718079056815,5365.47220721104,7.67533064,73.9575,84.7860722939556,7.548,6603739.0,1.76751592356698,62.7602174748575,19.8824316422635,1.35198907049682,3281326.0
PRY,2021,3.21718079056815,5976.93179789949,8.03277016,77.0184,,7.311,6684182.0,4.787983101236,69.74227302112,22.9347908381489,1.21078357917422,3412056.0
PRY,2022,,6205.62595379319,7.73537827,76.2592,87.148745461088,6.755,6760464.0,9.76556667164402,73.7379050218566,22.1197175470021,1.13476871860664,3391301.0
PRY,2023,,6299.99026533713,8.35731316,78.0948,90.271367469734,5.794,6844146.0,4.63202285403356,82.4052107741573,20.6420379522522,1.23021616038983,3448638.0
PRY,2024,,6416.09708970845,,81.5781,88.7082275386775,5.686,6929153.0,3.83540271728533,76.8311565430624,20.9667292353666,1.23438951533718,3477137.0
PSE,2004,4.29703149390979,1422.19088643544,11.37928772,4.4009,94.7702713012695,23.215,3236626.0,3.00417498638593,81.1235906237101,24.1489431035606,2.55527589181892,673177.0
PSE,2005,4.29703149390979,1543.70141392774,10.99557114,16.005,97.556022644043,20.016,3320396.0,4.10725070715931,83.8363540589578,23.8601556860526,2.5552623734323,705921.0
PSE,2006,4.29703149390979,1570.10439962728,10.50240231,18.41,,19.014,3406334.0,3.84234125624782,82.6374735897388,20.9524521810669,2.55525867519272,732368.0
PSE,2007,4.29703149390979,1664.24571669276,9.58784008,21.176,91.3614730834961,18.282,3494496.0,1.85974379351111,91.9992434272745,19.9580446034011,2.55525196026943,785554.0
PSE,2008,4.29703149390979,2035.20234121766,10.52610016,24.358,92.0719604492188,22.913,3591977.0,9.88999788691849,79.4799190194791,17.9675530750711,2.75135880229092,805777.0
PSE,2009,4.29703149390979,2191.78178736868,10.76468372,32.23,93.1546783447266,20.452,3689099.0,2.75393485083151,75.1511928466305,18.1938483990254,2.66795074941001,839676.0
PSE,2010,4.29703149390979,2557.07562356699,9.10499382,37.4,98.3999848159888,21.416,3786161.0,3.74915727597096,68.4976501575169,18.8493518566338,2.59703221798976,879814.0
PSE,2011,4.29703149390979,2880.79843707909,11.34622478,41.08,93.933586961627,17.597,3882986.0,2.8772435849594,67.2495329024414,21.0770509829163,2.52518683079236,940188.0
PSE,2012,4.29703149390979,3067.43872735614,10.30110455,43.4,92.800622648852,19.202,3979998.0,2.77908768282492,66.9293273483831,20.4711510107795,2.46768715003228,977472.0
PSE,2013,4.29703149390979,3315.29753909282,10.44874382,46.6,95.6305284332547,19.894,4076708.0,1.72439933626931,66.2713181162369,21.7246864710887,2.40084831983677,1010156.0
PSE,2014,4.15279561261097,3352.11259506043,9.92015553,53.6652,98.3474423631124,20.526,4173398.0,1.73298510037447,67.7398371659149,21.1612829438801,2.3440772109436,1047752.0
PSE,2015,4.00855973131217,3272.15432360708,9.28473282,56.7,97.3609635139922,23.005,4270092.0,1.43161145810476,70.7809681944405,23.6509117975437,2.29048005844149,1124303.0
PSE,2016,4.22019525695026,3527.61382413178,9.0039854,59.9,96.0882674240769,23.939,4367088.0,-0.219106604907316,65.4225141833383,23.9773066587041,2.24610527580178,1149280.0
PSE,2017,4.07809722538055,3620.36048715937,9.1223526,63.3,99.8634104171169,25.677,4454805.0,0.212570934228881,68.4486607142857,26.000744047619,1.98868634871278,1181552.0
PSE,2018,4.07809722538055,3562.33094270256,9.65617657,64.4,96.5742895304979,26.256,4569087.0,-0.195107773730735,71.4012754506469,26.8188688055245,2.5330114844554,1198168.0
