Country,Year,Agri_GDP,Credit_Private,Elec_Access,Emp_Services,FDI_GDP,GDPC_2015,Indus_GDP,Internet_Usage,Serv_GDP
AFG,2015,0.7303373151649526,0.07989445705876808,0.6176328652416263,0.3958728417779378,0.3415514542962003,0.11767524897532622,0.44399192258390263,0.08259999999999999,0.4801709430150405
AFG,2016,0.7808627076501036,0.07566222581519716,0.9734324496186684,0.42147257164904595,0.31764154321679877,0.11723970555596253,0.09113289953393156,0.11,0.5705749920155907
AFG,2017,0.7868496104458683,0.07352249790863563,0.9734324496186684,0.4468990312555525,0.3019046701843414,0.11695603983552427,0.07259159575287466,0.135,0.5602040160623831
AFG,2018,0.7453778809838415,0.05772118800113618,0.9220587880546196,0.450308418233869,0.32707589375539653,0.11445127496504137,0.20527144335888803,0.168,0.5772962080734239
AFG,2019,0.781162643636257,0.04323649128514995,0.9734324496186684,0.4581308775204165,0.29212314079698665,0.1156867677141693,0.22819854050058574,0.17600000000000002,0.5162144606858106
AFG,2020,0.815921223836427,0.03605566476685851,0.9734324496186684,0.42636387996933145,0.28825076744804634,0.10767007383023797,0.18983920321559067,0.170485,0.4692017920682847
AFG,2021,0.8422903273181948,0.09650785572210861,0.9734324496186684,0.3303288341689794,0.29342284470300806,0.07059131223541693,0.23534847691052607,0.16514299999999998,0.37425839801730154
AFG,2022,0.8430047468662478,0.21519744122911488,0.8185921018853666,0.3161550489597915,0.3834718846013384,0.05918299360350665,0.2907070128599807,0.17191700000000001,0.33430588531838046
AFG,2023,0.8500581819613326,0.31452076196939405,0.8185921018853666,0.31756462448743594,0.3823633327146837,0.05933651138900631,0.20745473122943747,0.177089,0.35958665843039306
AFG,2024,0.8209398913856406,0.3637727598463879,0.24152326121100512,0.31763722970541064,0.5138974116193059,0.1418079642887156,0.46595360663626584,0.13483780000000004,0.23918162154983164
AFW,2004,0.7634037005270081,0.22909859693370144,0.0,0.3980764882747869,0.40143795017818273,0.24932653390435255,0.5718154821406833,0.0874,0.2643382574055959
AFW,2005,0.7587626552610954,0.2286957416416699,0.0,0.40690637386660367,0.47479123948916946,0.25338241806008865,0.5819430895051483,0.023,0.26416503312343487
AFW,2006,0.7485055745647207,0.22461133211757095,0.0,0.4156072508018962,0.4329690519495269,0.25675663715195307,0.5603797987618826,0.034,0.332735387323714
AFW,2007,0.7454764155390068,0.30050176055707417,0.0,0.42610334184576226,0.4640900713954106,0.260357653024473,0.541623743826646,0.043,0.3586379649562881
AFW,2008,0.7511110450160627,0.3444107489347578,0.011551050559465814,0.4368308348290477,0.4689432203495266,0.26499907094827,0.5602493601333194,0.05,0.3351619384370186
AFW,2009,0.7619900311140713,0.3597778596901032,0.015217018783615366,0.4479921409776315,0.5134861123675057,0.26959434521681935,0.4954707147092794,0.057999999999999996,0.3744605992799519
AFW,2010,0.7462994480609857,0.3117242334337929,0.013861943040448743,0.461731186279271,0.4891055092869163,0.2753676268818016,0.5463227053740016,0.073,0.3671495917318093
AFW,2011,0.7290686659023309,0.2924385769495536,0.11925551127042233,0.47181745534013153,0.5147327926463962,0.27824286335895676,0.5966598389151796,0.087,0.33844030938762604
AFW,2012,0.727057492286751,0.2881221084289694,0.07235338257358226,0.48033667754849274,0.46596436986634737,0.2814653317366339,0.5871613012855896,0.10300000000000001,0.35835966429309707
AFW,2013,0.7188835490551647,0.30465179984403584,0.14668139263451252,0.4883628078127069,0.4317106895519064,0.2860204978387667,0.570888209005431,0.126,0.38194409828862375
AFW,2014,0.7139009577624803,0.3266247288364416,0.16030942698932815,0.4973747930648855,0.40350201459485824,0.2900902846819896,0.5463447369186305,0.15,0.4076604112171238
AFW,2015,0.7252606175558335,0.3334885701754839,0.1387068711948869,0.5059623373744708,0.4228554947432471,0.29036785658477726,0.46587719041233555,0.18600000000000003,0.4813977729973993
